album,song
Taylor Swift,Tim McGraw
Taylor Swift,Picture To Burn
Taylor Swift,Teardrops On My Guitar
Taylor Swift,A Place In This World
Taylor Swift,Cold As You
Taylor Swift,The Outside
Taylor Swift,Tied Together With A Smile
Taylor Swift,Stay Beautiful
Taylor Swift,Should've Said No
Taylor Swift,Mary's Song (Oh My My My)
Taylor Swift,Our Song
Fearless,Fearless
Fearless,Fifteen
Fearless,Love Story
Fearless,Hey Stephen
Fearless,White Horse
Fearless,You Belong With Me
Fearless,Breathe
Fearless,Tell Me Why
Fearless,You're Not Sorry
Fearless,The Way I Loved You
Fearless,Forever & Always
Fearless,The Best Day
Fearless,Change
Fearless,Fearless
Fearless,Fifteen
Fearless,Love Story
Fearless,Hey Stephen
Fearless,White Horse
Fearless,You Belong With Me
Fearless,Breathe
Fearless,Tell Me Why
Fearless,You're Not Sorry
Fearless,The Way I Loved You
Fearless,Forever & Always
Fearless,The Best Day
Fearless,Change
Fearless,Jump Then Fall
Fearless,Untouchable
Fearless,Forever & Always (piano version)
Fearless,Come In With The Rain
Fearless,Superstar
Fearless,The Other Side Of The Door
Speak Now,Mine
Speak Now,Sparks Fly
Speak Now,Back To December
Speak Now,Speak Now
Speak Now,Dear John
Speak Now,Mean
Speak Now,The Story Of Us
Speak Now,Never Grow Up
Speak Now,Enchanted
Speak Now,Better Than Revenge
Speak Now,Innocent
Speak Now,Haunted
Speak Now,Last Kiss
Speak Now,Long Live
Red,State Of Grace
Red,Red
Red,Treacherous
Red,I Knew You Were Trouble
Red,All Too Well
Red,22
Red,I Almost Do
Red,We Are Never Ever Getting Back Together
Red,Stay Stay Stay
Red,The Last Time with  Gary Lightbody
Red,Holy Ground
Red,Sad Beautiful Tragic
Red,The Lucky One
Red,Everything Has Changed with Ed Sheeran
Red,Starlight
Red,Begin Again
Red,State Of Grace
Red,Red
Red,Treacherous
Red,I Knew You Were Trouble
Red,All Too Well
Red,22
Red,I Almost Do
Red,We Are Never Ever Getting Back Together
Red,Stay Stay Stay
Red,The Last Time with  Gary Lightbody
Red,Holy Ground
Red,Sad Beautiful Tragic
Red,The Lucky One
Red,Everything Has Changed with Ed Sheeran
Red,Starlight
Red,Begin Again
Red,The Moment I Knew
Red,Come Back… Be Here
Red,Girl At Home
Red,Treacherous  -  demo
Red,Red  -  demo
Red,State Of Grace  -  demo
1989,Welcome To New York
1989,Blank Space
1989,Style
1989,Out Of The Woods
1989,All You Had To Do Was Stay
1989,Shake It Off
1989,I Wish You Would
1989,Bad Blood
1989,Wildest Dreams
1989,How You Get The Girl
1989,This Love
1989,I Know Places
1989,Clean
1989,Welcome To New York
1989,Blank Space
1989,Style
1989,Out Of The Woods
1989,All You Had To Do Was Stay
1989,Shake It Off
1989,I Wish You Would
1989,Bad Blood
1989,Wildest Dreams
1989,How You Get The Girl
1989,This Love
1989,I Know Places
1989,Clean
1989,Wonderland
1989,You Are In Love
1989,New Romantics
Reputation,…Ready For It?
Reputation,End Game with  Ed Sheeran and Future
Reputation,I Did Something Bad
Reputation,Don't Blame Me
Reputation,Delicate
Reputation,Look What You Made Me Do
Reputation,So It Goes…
Reputation,Gorgeous
Reputation,Getaway Car
Reputation,King Of My Heart
Reputation,Dancing With Our Hands Tied
Reputation,Dress
Reputation,This Is Why We Can't Have Nice Things
Reputation,Call It What You Want
Reputation,New Year's Day
Lover,I Forgot That You Existed
Lover,Cruel Summer
Lover,Lover
Lover,The Man
Lover,The Archer
Lover,I Think He Knows
Lover,Miss Americana & The Heartbreak Prince
Lover,Paper Rings
Lover,Cornelia Street
Lover,Death By A Thousand Cuts
Lover,London Boy
Lover,Soon You'll Get Better with the Dixie Chicks
Lover,False God
Lover,You Need To Calm Down
Lover,Afterglow
Lover,Me!  with Brendon Urie
Lover,It's Nice To Have A Friend
Lover,Daylight
Folklore,The 1
Folklore,Cardigan
Folklore,The Last Great American Dynasty
Folklore,Exile with Bon Iver
Folklore,My Tears Ricochet
Folklore,Mirrorball
Folklore,Seven
Folklore,August
Folklore,This Is Me Trying
Folklore,Illicit Affairs
Folklore,Invisible String
Folklore,Mad Woman
Folklore,Epiphany
Folklore,Betty
Folklore,Peace
Folklore,Hoax
Folklore,The Lakes
Evermore,Willow
Evermore,Champagne Problems
Evermore,Gold Rush
Evermore,Tis The Damn Season
Evermore,Tolerate It
Evermore,"No Body, No Crime with Haim"
Evermore,Happiness
Evermore,Dorothea
Evermore,Coney Island- with the National
Evermore,Ivy
Evermore,Cowboy Like Me
Evermore,Long Story Short
Evermore,Marjorie
Evermore,Closure
Evermore,Evermore  -  with Bon Iver
Evermore,Right Where You Left Me
Evermore,It's Time To Go
Fearless (Taylor’s Version),Fearless
Fearless (Taylor’s Version),Fifteen
Fearless (Taylor’s Version),Love Story
Fearless (Taylor’s Version),Hey Stephen
Fearless (Taylor’s Version),White Horse
Fearless (Taylor’s Version),You Belong With Me
Fearless (Taylor’s Version),Breathe with Colbie Caillat
Fearless (Taylor’s Version),Tell Me Why
Fearless (Taylor’s Version),You're Not Sorry
Fearless (Taylor’s Version),The Way I Loved You
Fearless (Taylor’s Version),Forever & Always
Fearless (Taylor’s Version),The Best Day
Fearless (Taylor’s Version),Change
Fearless (Taylor’s Version),Jump Then Fall
Fearless (Taylor’s Version),Untouchable
Fearless (Taylor’s Version),Forever & Always  -  Piano Version
Fearless (Taylor’s Version),Come In With The Rain
Fearless (Taylor’s Version),Superstar
Fearless (Taylor’s Version),The Other Side Of The Door
Fearless (Taylor’s Version),Today Was A Fairytale
Fearless (Taylor’s Version),You All Over Me  -  with Maren Morris
Fearless (Taylor’s Version),Mr. Perfectly Fine
Fearless (Taylor’s Version),We Were Happy
Fearless (Taylor’s Version),That's When  -  with Keith Urban
Fearless (Taylor’s Version),Don't You
Fearless (Taylor’s Version),Bye Bye Baby
